,Run,Subject,Tissue,Len,Percentage,Species
67,F63-22_PBMC_divan,F63-22,PBMC,8,3.176534618823621,ferret
68,F63-22_PBMC_divan,F63-22,PBMC,7,3.4261167048944525,ferret
69,F63-22_PBMC_divan,F63-22,PBMC,14,1.4368464020526377,ferret
70,F63-22_PBMC_divan,F63-22,PBMC,5,1.4030245305757492,ferret
71,F63-22_PBMC_divan,F63-22,PBMC,10,0.04937215721338879,ferret
72,F63-22_PBMC_divan,F63-22,PBMC,4,0.006997628581425183,ferret
73,F63-22_PBMC_divan,F63-22,PBMC,13,0.0003887571434125102,ferret
74,F63-22_PBMC_divan,F63-22,PBMC,15,0.0003887571434125102,ferret
75,F17-22_PBMC_divan,F17-22,PBMC,6,70.50097658961946,ferret
76,F17-22_PBMC_divan,F17-22,PBMC,9,21.277619898360626,ferret
77,F17-22_PBMC_divan,F17-22,PBMC,14,1.185329865128808,ferret
78,F17-22_PBMC_divan,F17-22,PBMC,8,3.045015690231327,ferret
79,F17-22_PBMC_divan,F17-22,PBMC,7,2.1827472252821,ferret
80,F17-22_PBMC_divan,F17-22,PBMC,5,1.7911857001360745,ferret
81,F17-22_PBMC_divan,F17-22,PBMC,3,0.014810837830582528,ferret
82,F17-22_PBMC_divan,F17-22,PBMC,10,0.001388516046617112,ferret
83,F17-22_PBMC_divan,F17-22,PBMC,15,0.000925677364411408,ferret
